總價(萬元),占比乗面積,building,屋齡,樓別/樓高,管理組織,電梯,主要用途,region,衛,廳,房
1150,44.82,House,20,全/五層,無,無,住家用,North District,3,4,1
2200,76.72,House,20,全/四層,無,無,住家用,North District,3,5,5
750,28.844775,Apartment,39,四層/五層,有,無,住家用,North District,2,2,3
2438,60.45,House,8,全/四層,無,無,住家用,North District,2,4,4
1200,45.41,House,34,全/四層,無,無,住家用,North District,2,3,4
1260,46.04,House,1,全/三層,無,無,住家用,North District,2,4,3
1130,29.281368,high-rise  apartment  (building),7,十三層/十四層,有,有,住家用,North District,2,2,3
590,15.664599,high-rise  apartment  (building),28,九層/十八層,有,有,住家用,North District,2,1,1
1050,26.589134,condominium,27,一層/八層,有,有,住家用,North District,2,2,3
2130,30.370528,high-rise  apartment  (building),1,三層/十五層,有,有,住家用,North District,2,2,3
2360,71.21,House,17,全/四層,無,無,住家用,North District,2,4,5
620,19.084333,high-rise  apartment  (building),24,十二層/十四層,有,有,住家用,North District,1,1,2
750,14.962652,high-rise  apartment  (building),8,九層/二十四層,有,有,住家用,North District,2,1,2
3800,94.483368,high-rise  apartment  (building),11,五層/十四層,有,有,其他,North District,1,8,1
820,25.81,House,49,全/二層,無,無,住家用,North District,2,3,6
988,26.284692,condominium,20,六層/十層,有,有,住家用,North District,2,2,3
1750,25.702224,high-rise  apartment  (building),1,十五層/十五層,有,有,住家用,North District,2,2,2
936,37.69,House,43,全/二層,無,無,住商用,North District,2,2,3
1200,28.696239,high-rise  apartment  (building),8,二十四層/二十四層,有,有,住家用,North District,2,2,3
612,24.37,House,51,全/二層,無,無,住家用,North District,2,3,4
825,26.353956,condominium,29,三層/八層,有,有,住家用,North District,1,2,4
850,19.840023,high-rise  apartment  (building),26,"一層,騎樓,夾層/十四層",有,有,商辦用,North District,2,1,2
1318,45.86481,high-rise  apartment  (building),20,"一層,二層,三層/十四層",有,有,住商用,North District,2,3,3
672,12.530035,condominium,1,四層/四層,有,有,住家用,North District,2,1,2
1160,25.73857,high-rise  apartment  (building),17,二層/十四層,有,有,住家用,North District,2,2,4
1900,68.81,House,53,全/四層,無,無,住家用,North District,2,2,1
855,14.305167,condominium,1,三層/五層,有,有,住家用,North District,1,1,1
690,14.029641,condominium,1,三層/四層,有,有,住家用,North District,2,1,2
920,24.274628,high-rise  apartment  (building),21,九層/十一層,有,有,住家用,North District,2,2,3
710,13.09176,condominium,1,三層/四層,有,有,住家用,North District,2,1,2
900,21.779459,condominium,1,四層/四層,有,有,住家用,North District,2,1,2
953,14.824017,condominium,1,三層/四層,有,有,住家用,North District,2,1,2
740,25.36719,high-rise  apartment  (building),29,十六層/二十五層,有,有,住家用,North District,2,2,3
550,24.14,House,53,全/二層,無,無,住家用,North District,2,2,4
370,19.603809,Apartment,38,"三層,走廊/五層",無,無,住家用,North District,2,1,3
750,19.040294,condominium,31,五層/十層,有,有,住家用,North District,2,2,2
340,20.926656,condominium,42,七層/七層,有,有,住家用,North District,2,1,2
1180,55.43,House,42,全/四層,無,無,住商用,North District,4,3,4
700,31.12264,high-rise  apartment  (building),13,二層/十二層,有,有,住家用,North District,2,2,3
1200,30.586025,high-rise  apartment  (building),20,十一層/十四層,有,有,住家用,North District,2,2,3
965,25.8597,high-rise  apartment  (building),21,三層/十三層,有,有,住家用,North District,2,2,3
1758,26.410657,high-rise  apartment  (building),1,十二層/十五層,有,有,住家用,North District,2,2,3
720,21.743391,high-rise  apartment  (building),28,三層/十八層,有,有,住家用,North District,2,2,3
450,26.964512,Apartment,42,五層/五層,無,無,住家用,North District,2,2,3
938,21.569968,condominium,26,二層/六層,有,有,住家用,North District,2,2,3
815,12.517792,condominium,1,二層/五層,有,有,住家用,North District,2,1,2
948,23.388167,condominium,1,二層/四層,有,有,住家用,North District,2,1,2
